"YEAR","CONF","TEAM","SEED","ROUND","KADJ.T","KADJ.O","KADJ.D","BADJ.EM","BADJ.O","BADJ.D","GAMES","W","L","WIN.","EFG.","EFG.D","FTR","FTRD","TOV.","TOV.D","OREB.","DREB.","OP.OREB.","OP.DREB.","RAW.T","X2PT.","X2PT.D","X3PT.","X3PT.D","BLK.","BLKED.","AST.","OP.AST.","X2PTR","X3PTR","X2PTRD","X3PTRD","BADJ.T","AVG.HGT","EFF.HGT","EXP","TALENT","FT.","OP.FT.","PPPO","PPPD"
2025,"MAC","Akron",13,0,71.4456,113.749,107.176,6.861,113.691,106.83,32,26,6,81.25,55.4,49.5,26.8,33.7,16.6,17.2,33.3,71,29,66.7,72.4,55.8,50.6,36.6,31.9,9.8,7,58.5,44.7,54.6,45.4,62,38,71.176,75.063,77.508,2.383,16.228,74.9,73,1.156,1.045
2025,"SEC","Alabama",2,0,74.9404,126.598,96.6919,31.278,127.634,96.356,33,25,8,75.75758,56.3,47.9,40.1,33.9,16.7,13.5,34.7,70.8,29.2,65.3,76.3,59.7,48.8,35,30.8,10.1,12.2,54.1,43.8,53.8,46.2,64.9,35.1,74.645,78.074,82.581,1.819,58.572,71.6,70.4,1.187,1.06
2025,"SWAC","Alabama St.",16,0,67.824,101.454,110.689,-9.091,100.521,109.612,33,18,15,54.54545,47.1,50.3,29.9,38.7,13.2,18.6,28.3,68.9,31.1,71.7,69.1,45.4,50.4,32.9,33.4,8.4,9.1,45.4,50.3,57.1,42.9,60.5,39.5,67.626,76.5,79.666,2.346,4.049,69.8,69.9,1.041,1.046
2025,"Pat","American",16,0,63.5548,102.095,108.071,-6.202,101.22,107.422,32,20,12,62.5,51.8,52.1,29.5,34.1,16.8,17.6,23.8,72.6,27.4,76.2,63.7,51.1,53.1,35.1,33.6,5.3,9.5,52.1,50.4,55.2,44.8,64.3,35.7,63.442,76.377,79.635,2.039,0.2,75.9,69.2,1.045,1.052
2025,"B12","Arizona",4,0,69.9324,122.567,96.8244,27.472,123.94,96.468,34,22,12,64.70588,52.9,48.6,36.6,29.2,16.2,16.6,35.9,71.5,28.5,64.1,70.2,55.1,47.2,32.4,33.6,12,6.7,56.7,53.2,65.4,34.6,58.1,41.9,69.862,77.892,80.498,1.92,66.268,78.4,71.4,1.156,1.025
2025,"SEC","Arkansas",10,0,69.4097,112.943,95.2503,16.449,111.898,95.449,33,20,13,60.60606,52.7,48.3,35.5,29.4,16.5,17.5,27.6,71.7,28.3,72.4,70.4,54.4,48.5,33.3,31.9,15.4,7.1,53.2,48.6,63.3,36.7,60.5,39.5,69.263,78.136,81.87,1.364,74.808,73.4,72.5,1.083,1.006
2025,"SEC","Auburn",1,0,67.6684,128.505,93.4663,35.396,129.049,93.653,33,28,5,84.84848,55.7,46,33.5,39.2,13.4,17.4,34.3,69.7,30.3,65.7,68.9,56.1,47.2,36.8,29.2,16.5,7.5,55.5,40.2,59.4,40.6,65.2,34.8,67.776,78.431,81.057,2.573,34.433,74,73.5,1.213,1.007
2025,"B12","Baylor",9,0,64.5974,120.886,99.7268,21.224,120.5,99.276,32,18,14,56.25,51.5,51.2,31,33.5,16.1,18.8,35.6,68.8,31.2,64.4,65.4,51.2,49.8,34.7,35.4,8.3,11,53.5,59.9,59.8,40.2,59.2,40.8,64.62,76.961,79.571,1.871,56.146,74.6,69.9,1.132,1.044
2025,"AE","Bryant",15,0,72.5242,106.725,105.547,0.413,105.753,105.34,32,21,11,65.625,51,47.7,30.4,30,16.5,16.4,34.2,71.2,28.8,65.8,73.2,51.5,47.3,33.4,32.2,14.8,5.7,48.7,42.9,65.2,34.8,64,36,72.335,78.792,80.395,2.502,33.52,71.8,72,1.095,1.015
2025,"B12","BYU",6,0,67.3028,123.05,100.654,26.353,125.443,99.09,33,24,9,72.72727,57.2,50.6,30.2,29.5,17.6,17.2,33.3,73.9,26.1,66.7,67.8,58.6,49.3,37.1,34.8,9.8,8.5,59.9,52.2,51.7,48.3,55.6,44.4,67.2,78.157,80.606,1.889,35.971,70.5,70.6,1.173,1.027
2025,"ACC","Clemson",5,0,64.3278,118.69,94.7724,23.495,118.345,94.85,33,27,6,81.81818,53.6,48.9,28.2,27.6,15.7,20.1,33.7,70.1,29.9,66.3,65.1,52.3,49.3,37.2,32.2,10.4,8.1,52.3,43.7,61.6,38.4,61.7,38.3,64.261,77.87,81.701,2.503,51.614,76.6,69.5,1.148,0.988
2025,"MWC","Colorado St.",12,0,66.0287,116.276,98.977,18.279,116.879,98.6,34,25,9,73.52941,55.8,48.5,31.8,33.6,17.4,16.7,26.4,74.7,25.3,73.6,66.3,56.5,47.7,36.6,33.1,8,8.1,62.8,47.2,57.2,42.8,62.1,37.9,66.012,77.024,79.53,2.033,33.82,77.5,68.1,1.122,1
2025,"BE","Connecticut",8,0,63.7849,121.965,102.633,19.585,121.595,102.01,33,23,10,69.69697,55.5,48.3,30.6,40,17.1,15.5,35.6,72.6,27.4,64.4,64.5,57.3,46,35.4,35.1,17.9,8.9,64,44.2,57.4,42.6,65.8,34.2,63.782,78.167,80.841,1.638,87.492,79.1,73,1.182,1.039
2025,"BE","Creighton",9,0,67.1073,116.968,98.2653,19.093,117.334,98.241,34,24,10,70.58824,55.8,47,28.5,16.9,18.1,11.7,26.9,72.8,27.2,73.1,67.6,60.5,45.8,33.9,32.7,10.7,10.9,63.4,43.3,51,49,64.8,35.2,67.135,78.968,83.115,1.954,59.745,73.3,71.4,1.105,1.021
2025,"MVC","Drake",11,0,58.8833,112.641,98.498,14.072,112.538,98.466,31,28,3,90.32258,53.8,51.7,43,35.8,18.6,22.1,36,74.2,25.8,64,59.5,54.6,54.3,35,31.8,8.5,7.7,54.2,48,63.2,36.8,60.9,39.1,58.599,77.41,79.116,2.226,0.2,70.7,72.1,1.132,0.984
2025,"ACC","Duke",1,0,65.803,127.999,89.847,37.181,128.453,91.272,34,31,3,91.17647,57.4,44.5,32.1,25.4,14.4,17.7,35.2,73.5,26.5,64.8,66.6,58,43.4,37.7,30.9,10.6,9.7,58.1,51.4,54.6,45.4,62.1,37.9,65.706,79.763,82.221,0.968,80.734,78.4,71.5,1.242,0.93
2025,"SEC","Florida",1,0,69.5912,127.938,92.1126,33.693,127.699,94.006,34,30,4,88.23529,55,45.3,32.6,33,15,17,38.1,71.2,28.8,61.9,70.8,56.4,45.9,35.5,29.6,12.3,8.6,52.4,46.4,56.4,43.6,62.7,37.3,69.516,78.018,82.097,1.887,28.619,71.8,70.7,1.206,0.977
2025,"SEC","Georgia",9,0,66.4963,115.468,96.1035,20.152,115.923,95.771,32,20,12,62.5,52.5,47.2,39.8,30.4,18.8,18,36.1,68.2,31.8,63.9,68.5,53.8,47.8,33.5,30.9,14.7,9.3,47.6,48.8,63.2,36.8,59.4,40.6,66.394,78.786,81.87,1.393,64.946,71.7,73.7,1.103,1.011
2025,"WCC","Gonzaga",8,0,70.2431,123.611,96.3216,26.877,123.304,96.427,33,25,8,75.75758,55.7,47.5,30.9,28.6,13.2,18.2,32.7,73.6,26.4,67.3,70.5,57.8,49.1,34.4,30.2,8.3,8.1,61.9,48.5,66.5,33.5,59.4,40.6,70.141,77.317,80.873,2.522,61.194,80.1,72.8,1.215,0.977
2025,"WAC","Grand Canyon",13,0,71.5151,107.859,100.641,9.061,108.532,99.471,32,25,7,78.125,51.2,47,43.9,32.2,18.4,20.6,32.5,71.4,28.6,67.5,72.6,53.2,46.4,31.6,32.1,13,8.7,52.1,48.4,66.4,33.6,65.6,34.4,71.467,77.889,80.515,2.47,26.711,73.5,73.1,1.077,0.956
2025,"BSth","High Point",13,0,66.4904,118.496,109.181,9.573,117.709,108.136,32,27,5,84.375,56.4,49.1,37.6,36.3,15.3,16.5,34,70.1,29.9,66,67.2,57.4,48.9,36.6,32.9,7.2,8,44.9,43.1,61,39,64,36,66.472,77.06,80.787,2.445,17.054,76.4,70.5,1.211,1.045
2025,"B12","Houston",1,0,61.5016,123.269,87.8253,36.804,124.791,87.987,34,30,4,88.23529,52.7,44.9,28.2,34.1,14.6,21.7,36.1,70.7,29.3,63.9,62.4,49,43.9,39.8,30.9,15.8,6.6,44.4,55,65.5,34.5,56.9,43.1,61.425,76.82,79.578,2.278,75.695,74.1,70.9,1.167,0.92
2025,"B10","Illinois",6,0,71.4016,121.633,98.0448,23.718,122.207,98.489,33,21,12,63.63636,52.3,47.3,34.6,26.8,15.8,12.7,36,73.7,26.3,64,72.3,57.3,46.1,31.1,33.3,9.1,8.8,51.9,45.8,53.1,46.9,69.6,30.4,71.333,78.84,82.012,1.177,74.592,75.9,71.2,1.15,1.023
2025,"B12","Iowa St.",3,0,68.6373,119.483,92.4824,26.529,118.876,92.347,33,24,9,72.72727,54.6,48.4,38.5,28.9,16.9,21.8,32.2,71.6,28.4,67.8,69.5,55.1,47.5,35.8,33.2,10.2,9.3,53.9,55.3,63.1,36.9,59.3,40.7,68.54,77.854,81.053,2.401,35.926,75.7,75,1.14,0.965
2025,"B12","Kansas",7,0,68.4297,116.021,92.761,23.065,116.11,93.045,33,21,12,63.63636,53.1,46.2,24.3,28,16.7,15.6,30.4,72.5,27.5,69.6,69.2,53.4,46.1,35.2,30.9,13.1,9,60.9,52.8,65.7,34.3,59.3,40.7,68.297,77.963,82.013,2.526,65.96,71.1,72.7,1.09,0.991
